en_sentence,ko_sentence,emotion
i am glad to know the reason for my recent lapse of sanity but i still feel like i want to go on a very violent rampage at the slightest inconvenience to me,"나는 내가 최근에 제정신을 잃은 이유를 알게 되어 기쁘지만, 나는 여전히 나에게 아주 작은 불편함이라도 매우 폭력적인 난동을 부리고 싶은 기분이 든다.",anger
i for one sit and stare at a blank computer screen for a while scratch my head a few times drink a couple pots of coffee and then feel triumphant once i write my first sentence and that first sentence usually consists of a poop joke,나는 잠시 동안 빈 컴퓨터 화면을 바라보며 앉아서 머리를 긁적거리고 커피를 몇 주전자를 마시고 첫 문장을 쓰고 나면 의기양양함을 느낀다. 그리고 그 첫 문장은 보통 똥장난으로 이루어져 있다.,joy
i feel highs so ecstatic that just being normal feels like a thousand mile drop and being unhappy is excruciating,나는 너무 황홀해서 정상인 것이 천 마일 떨어진 것처럼 느껴지고 불행하다는 것은 고통스럽다.,joy
i read in one horrific sitting made me feel ashamed of the world we live in,나는 우리가 살고 있는 세상에 대해 부끄럽게 느끼게끔 끔찍한 한 자리에서 읽었다.,sadness
i could feel his sweet spirit and i was happy to be helping him,나는 그의 달콤한 정신을 느낄 수 있었고 그를 도울 수 있어서 행복했다.,joy
i really love eating fresh figs because they feel so delicate and look so much prettier than the ugly dried figs,나는 신선한 무화과를 먹는 것을 정말 좋아한다. 왜냐하면 그것들은 매우 섬세하게 느껴지고 못생긴 마른 무화과보다 훨씬 더 예뻐 보이기 때문이다.,love
id feel better,나는 기분이 좋아졌다.,joy
i watch hgtv and i feel like im not that talented,나는 hgtv를 보고 내가 그렇게 재능이 없다고 느낀다.,joy
i never feel brave and nor do i want to be as i believe that in order to be brave you have to make a conscious choice as to whether you want to be brave or not,나는 결코 용감하다고 느끼지 않으며 용감해지기 위해서는 네가 용감해지고 싶은지 아닌지에 대한 의식적인 선택을 해야 한다고 믿는 것처럼 되고 싶지도 않다.,joy
i feel like offended with such question,나는 그런 질문으로 기분이 언짢다.,anger
i probably love a handful of friends too but i always feel a bit strange when describing this as love,나도 아마 소수의 친구들을 사랑하지만 이것을 사랑이라고 묘사할 때 항상 조금 이상하다고 느낀다.,fear
i feel hated and not wanted but just be an ignored,나는 미움받고 싶지 않지만 무시당하는 기분이다.,sadness
i express the gene of this dominant voice it feels rather wonderful as if i were really this writer this poet who was so carefree and crazy,나는 이 지배적인 목소리의 유전자를 표현한다. 마치 내가 정말 이 작가인 것처럼 매우 편안하고 미친 시인이라는 느낌이 든다.,joy
i wonder are you jealous or feeling of discontent or covetousnes,나는 당신이 질투하거나 불만 또는 탐욕스러움을 느끼는지 궁금하다.,sadness
i am feeling so low lately just feeling of hopelessness is very disturbing making me tired and sick entire of living this kind of life,나는 요즘 너무 우울해. 단지 절망감이 나를 매우 불안하게 만들고 이런 종류의 삶을 사는 내내 지치고 아프게 해.,sadness
i will put my hand on his scar covered chest and feel that half of a heart beating oh its in there beating and feel the sweet rhythm and remind him that we are not alone,나는 그의 흉터가 덮인 가슴에 손을 얹고 심장 박동의 반이 저 안에서 뛰고 달콤한 리듬을 느끼고 그에게 우리가 혼자가 아니라는 것을 상기시킬 것이다.,love
i guess im just feeling a little rebellious,나는 그냥 조금 반항적인 느낌이 든 것 같아.,anger
i feel very resolved yet somehow very depressed,나는 매우 결심했지만 왠지 매우 우울하다.,joy
i do feel tender,마음이 여리다.,love
im feeling a little stressed over it already,나는 이미 그것에 대해 약간의 스트레스를 받고 있다.,sadness
i feel like that s an acceptable favourite to have and yet nowhere can i see a terpene responsible for its flavour,"나는 그것이 받아들이기 쉬운 기호라고 느끼지만, 어디에서도 그것의 맛에 책임이 있는 테르펜을 볼 수 없다.",joy
i am feeling a bit strange never felt that ever but should i really stop writing blogs now,나는 기분이 좀 이상해 한번도 느껴본 적이 없지만 이제 정말 블로그 쓰는 것을 그만둬야 할까.,fear
i a href http feeling groggy,나는 흐느끼는 기분으로 href http,sadness
ive gained wieght but i really would like to lose pounds to just feel like ive finally gotten to an acceptable happy place,나는 살이 쪘지만 마침내 받아들일 수 있는 행복한 장소에 도착했다고 느끼기 위해 정말로 살을 빼고 싶다.,joy
i feel this book explains things well and is easy to use,나는 이 책이 잘 설명해주고 사용하기 쉽다고 느낀다.,joy
i feel resigned to what i have brought myself to and docile,나는 내가 온 것에 체념하고 유순함을 느낀다.,sadness
i still feel so alone i just cant give you anything for you to call your own and i can feel you breathing and its keeping me awake can you feel it beating,나는 여전히 너무 외롭다고 느껴서 네가 네 것이라고 부를 수 있는 어떤 것도 줄 수 없고 나는 네가 숨쉬는 것을 느낄 수 있고 그것이 나를 깨어 있게 하는 것을 느낄 수 있니?,sadness
i feel the loving presence of my parents daily even though they have both been physically dead for almost two decades now,나는 부모님이 거의 20년 동안 육체적으로 돌아가셨음에도 불구하고 매일 부모님의 사랑스런 존재를 느낀다.,love
i feel pretty jolly,나는 꽤 쾌활하다.,joy
i read cases of sons ignoring their old and helpless parents i feel very unhappy and sad,나는 아들이 늙고 무력한 부모를 무시하는 경우를 읽는다. 나는 매우 불행하고 슬프다.,sadness
i feel humiliated by what my body can t do but when my husband makes advances towards me it reminds me that despite all that ra tries to take from my life he still finds me not only sexually attractive but beautiful,"나는 내 몸이 할 수 없는 것에 굴욕감을 느끼지만 내 남편이 나를 향해 다가갈 때, 그것은 나에게 래라가 내 삶에서 빼앗으려 하는 모든 것에도 불구하고 그는 여전히 나를 성적으로 매력적일 뿐만 아니라 아름답다고 생각한다는 것을 상기시킨다.",sadness
i feel kind of alone and helpless in,나는 약간 외롭고 무력하다고 느낀다.,sadness
i feel totally ignored and excluded,나는 완전히 무시되고 배제된 기분이다.,sadness
im just feeling seriously pissed off at myself for doing something fantabulous but utterly stupid,나는 그저 환상적이지만 완전히 어리석은 일을 한 나 자신에게 심각하게 화가 나 있다.,anger
i wish i could say hey you know if i died tomorrow i wouldnt feel cheated on life or regretful that i didnt accomplish something,나는 내가 내일 죽는다면 인생에서 속았다고 느끼거나 무언가를 이루지 못한 것을 후회하지 않을 것이라고 말할 수 있기를 바란다.,sadness
i could look it up and act like i know what it is and lie to you about it and feel smug in my know it all ness but frankly i m way too lazy for all that,나는 그것을 찾아보고 내가 무엇인지 아는 것처럼 행동할 수 있고 그것에 대해 너에게 거짓말을 할 수 있고 내가 모든 것을 아는 것에 대해 자만심을 느낄 수 있지만 솔직히 나는 너무 게을러.,joy
i go home i feel so empty,나는 집에 간다 나는 너무 허전하다.,sadness
i have something to tell you girls i finally feel brave enough to share the news,여러분들에게 할 말이 있습니다. 드디어 이 소식을 전할 수 있을 만큼 용기가 생겼습니다.,joy
i feel defeated like a lion s prey,나는 사자 먹잇감처럼 패배감을 느낀다.,sadness
i like him for who he is or i just like the feeling to be liked,나는 그가 있는 그대로를 좋아하거나 그저 좋아받는 느낌이 좋다.,love
i am excited i hope they will be a it more personal with us and i wont feel like i am being rushed in and out,나는 흥분된다. 나는 그들이 우리와 좀 더 개인적으로 지내기를 바라며 나는 내가 급하게 들락날락하고 있다고 느끼지 않을 것이다.,anger
i surround myself with bible verses that help me to transcend to a space where i feel safe and secure,나는 내가 안전하고 안심할 수 있는 공간으로 초월하는 것을 돕는 성경 구절로 내 주위를 둘러쌌다.,joy
i don t know why it is that i feel awkwardly hesitant to return to melbourne,나는 왜 멜버른으로 돌아가는 것이 어색하게 망설이는지 모르겠다.,fear
i feel a little less gloomy a little more optimistic or a little better prepared to face what life throws my way,나는 조금 덜 우울하고 조금 더 낙관적이거나 삶이 내 길을 던져주는 것을 마주할 준비가 조금 더 잘 되어 있다고 느낀다.,sadness
i wont lie im a little worried and nervous and i feel inadequate for the job but ill just do my best thats all my heavenly father wants of me,나는 거짓말을 하지 않을 것이다. 나는 조금 걱정되고 불안하며 나는 그 일에 적합하지 않다고 느낀다. 하지만 나는 단지 나의 천국 아버지가 나에게 원하는 모든 것을 최선을 다할 것이다.,sadness
i slough off the carapace of crud that has enveloped me for the past thirty odd hours i feel invigorated and finally ready to face the day,나는 지난 30여 시간 동안 나를 감싸고 있던 크러드의 등딱지를 벗어났다. 나는 활력을 느끼고 마침내 하루를 맞이할 준비가 되었다.,joy
ive been a busy girl but it has been a very good type of busy and im feeling really happy about things right now and i am loving my new start in glasgow,나는 바쁜 소녀였지만 그것은 매우 좋은 유형의 바쁜 것이었고 나는 지금 매우 행복함을 느끼고 글래스고에서의 나의 새로운 시작을 사랑한다.,joy
when my mother kept me in leadingstrings,어머니가 나를 현악에 빠트렸을 때마침.,anger
i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,나는 특정 이벤트에 필요한 특정 아이템을 원하거나 특정 시간에 내가 원하는 것보다 더 많이 지출하는 것을 발견하기로 결심했다. 왜냐하면 나는 제약으로 인해 압박감을 느끼기 때문이다.,fear
i had written a prayer in my journal that morning after meditating on the greatness of our lord in psalm and had written in closing may we feel your tender care today,"나는 그날 아침 시편에서 우리 주님의 위대함에 대해 묵상하고 나서 내 일기에 기도를 썼고, 우리가 오늘 당신의 부드러운 보살핌을 느끼기를 마무리하면서 썼다.",love
i should have been depressed but i was actually feeling inspired,나는 우울했어야 했지만 실제로 영감을 받고 있었다.,joy
i feel like not enough people my age actually think that most are pretty devastated that their s have come and gone,나는 내 나이 또래의 사람들이 실제로 그들의 것이 왔다 갔다는 것에 대해 꽤 큰 충격을 받았다고 생각하는 사람이 충분하지 않다고 느낀다.,sadness
i get home i laze around in my pajamas feeling grouchy,나는 집에 도착해 잠옷을 입고 뒹굴며 기분이 언짢다.,anger
i am feeling pretty homesick this weekend,나는 이번 주말에 꽤 향수병을 느낀다.,sadness
i started out feeling really optimistic and driven for this paper coz it was gonna teach me the meaning and ways of being a leader,나는 매우 낙관적이고 이 논문을 위해 추진력을 느끼기 시작했다. 왜냐하면 그것은 나에게 리더가 되는 의미와 방법을 가르쳐 줄 것이기 때문이다.,joy
i need to do the best i possibly can do and even when i get out at i feel too listless to study like right now,나는 내가 할 수 있는 최선을 다해야 하고 심지어 내가 지금처럼 공부하기에는 너무 무기력하다.,sadness
i drove us to the car parts place and terry feels like im safe to drive again so yippee,나는 우리를 자동차 부품 장소로 데려다 주었고 테리는 다시 운전하기에 안전하다고 느껴서 이피.,joy
i am thankful for feeling useful,나는 유용하다고 느끼는 것에 감사한다.,joy
i feel like even though i dont buy into societys ideas about what a woman should look like i am still constantly unhappy with myself,나는 여자가 어떻게 보여야 하는지에 대한 생각을 사회에 믿지는 않지만 여전히 내 자신에 대해 지속적으로 불행하다고 느낀다.,sadness
i have no idea how i feel beyond wanting to be with my beloved,사랑하는 사람과 함께 있고 싶은 것 이상의 내 기분이 어떤지 모르겠어.,love
i don t want to tell people how my first was with you and how you made me feel i don t want to think that you re the most gorgeous guy i ve ever seen and i love how other people disagree because i don t want them to see how truly wonderful you are to me,"나는 사람들에게 내 첫 번째가 어떻게 너와 함께였는지, 그리고 네가 나를 어떻게 느끼게 했는지 말하고 싶지 않아. 나는 네가 내가 본 가장 멋진 남자라고 생각하고 싶지 않고 다른 사람들이 동의하지 않는 방식을 사랑해. 왜냐하면 나는 그들이 네가 나에게 얼마나 멋진지 보고 싶지 않기 때문이야.",joy
i still feel like the admission that i don t like this popular show puts me in a category with people who kick puppies or people who or who steal the ratty clothes off the backs of dickensian orphans,나는 여전히 내가 이 인기 있는 쇼를 좋아하지 않는다는 것을 인정하는 것이 나를 강아지를 발로 차는 사람들 또는 디킨지안 고아들의 등에 있는 더러운 옷을 훔치는 사람들과 같은 범주에 들게 한다고 느낀다.,joy
i feel the character im doing is a little more beaten down and the comedy is a little bit smaller,나는 내가 하는 캐릭터가 조금 더 패배하고 코미디가 조금 더 작다고 느낀다.,sadness
i feel everything around me is fucked everyone around me is falling to pieces,내 주변의 모든 것이 엉망진창인 것 같아. 내 주변의 모든 사람들이 산산조각이 나고 있어.,anger
i anyone another lovely day today weather am running late with life generally and not done any art today yet feel deprived bit of,나는 오늘 또 다른 사랑스러운 날 날씨는 일반적으로 삶으로 늦어지고 있고 오늘은 어떤 예술도 하지 않았지만 조금 박탈감을 느낀다.,sadness
i feel extremely insulted,나는 극도로 모욕감을 느낀다.,anger
i blanked a little on a lesson and she seamlessly jumped in to support me without making me feel stupid or inferring it to the kids,내가 수업을 조금 멍하니 듣자 그녀는 내가 멍청하다고 느끼게 하거나 아이들에게 추론하지 않고 나를 지원하기 위해 매끄럽게 뛰어들었다.,sadness
i feel like i smell this scent all over taiwan quite frequently in cute coffee shop bathrooms,귀여운 커피숍 화장실에서 대만 전역에서 이 향기를 꽤 자주 맡는 것 같아.,joy
i feel like im the one to be blamed for all things,나는 내가 모든 것에 대해 비난받아야 할 사람이라고 느낀다.,sadness
i cant help feeling mad at this man,나는 이 남자에게 화가 나지 않을 수 없다.,anger
i guess it all just depends on my mood whether im feeling sociable or not,내가 사교적이라고 느끼든 아니든 그것은 모두 내 기분에 달려 있다고 생각한다.,joy
i think of how much time we spent just doing fun childhood stuff together as a family i feel amazed,우리가 가족으로서 즐거운 어린 시절 일을 하며 얼마나 많은 시간을 보냈는지 생각해보니 놀랍다.,surprise
i continued to feel very submissive and continued to be aroused as well,나는 계속해서 매우 순종적이라고 느꼈고 또한 계속해서 흥분했다.,sadness
i told im i didnt want him to feel uncomfortable,나는 그가 불편해 하는 것을 원하지 않는다고 말했다.,fear
i feel constantly at battle like i need to continuously improve myself but then feel like nothing i do will ever be enough and that makes me feel chronically exhausted,"나는 끊임없이 전투에서 내 자신을 계속 발전시켜야 한다고 느끼지만, 그 다음에는 내가 하는 어떤 것도 충분하지 않을 것 같고 그것은 나를 만성적으로 지치게 만든다.",sadness
i feel like im a shy enormous pink flamingo man,나는 내가 수줍고 거대한 분홍색 플라밍고 남자처럼 느껴진다.,fear
i feel like as much as it was an unfortunate situation that i wasnt with my father i was in a great place,나는 아버지와 함께 있지 않은 것이 불행한 상황이었던 만큼 좋은 곳에 있었던 것처럼 느낀다.,sadness
i just want to show them that i can take care of myself and i feel wronged by staying with them,나는 단지 그들에게 내가 나를 돌볼 수 있고 그들과 함께 있는 것이 부당하다고 느낀다는 것을 보여주고 싶다.,anger
i went ahead and did the shooting afterwards a few of the guys asked me to go out for drinks and i agreed i knew i should have rang you tried to work things out with you but i was angry and feeling stubborn,나는 먼저 가서 촬영을 했고 그 후에 몇몇 남자들이 나에게 술을 마시러 나가자고 요청했고 나는 내가 너에게 전화를 걸어야 한다는 것을 알았지만 나는 화가 났고 완고함을 느꼈다.,anger
im listening to right now because i feel like i need it and i want to share it with you little ones despite my convinced atheism somehow it never fails to make me feel better,나는 그것이 필요하다고 느끼기 때문에 지금 듣고 있고 내 확신에 찬 무신론에도 불구하고 어떻게든 내 기분을 나아지게 하는 데 결코 실패하지 않는다.,joy
ive been comfort eating because im still feeling rubbish and i havent bothered to log most of it so theres no point checking on my food log yeah i know some of you do that,"나는 여전히 쓰레기를 느끼기 때문에 먹는 것을 위로하고 있었고 나는 그것의 대부분을 기록하는 것을 귀찮아했다. 그래서 내 음식 기록에서 확인하는 것은 의미가 없다. 그래, 나는 너희들 중 몇몇은 그렇게 한다는 것을 안다.",anger
i feel so honored to be nominated for this award,나는 이 상의 후보에 오른 것을 매우 영광스럽게 생각한다.,joy
im feeling quite joyful today,나는 오늘 꽤 즐겁다.,joy
when i received the first year results as the first year had involved a lot of work and i was very pleased when i got the results,첫해와 같은 첫해 결과를 받았을 때 많은 일을 했고 그 결과를 받았을 때 매우 기뻤습니다.,joy
i feel like ive isolated myself from regular relationships,나는 규칙적인 관계에서 나 자신을 고립시킨 것 같다.,sadness
i am also not a perfect girl friend and im always a disappointment always feeling so doubtful and always putting you through a hard time with my mood swings and sudden outburst of low emo mood,나 또한 완벽한 여자친구가 아니고 항상 너무 의심스럽고 항상 내 기분변화와 낮은 이모티콘의 갑작스러운 폭발로 너를 힘들게 하는 실망이야.,fear
i feel assured the world around me seems brighter,내 주변의 세상이 더 밝아진 것 같아 안심이다.,joy
i cant hide my feeling when i feel so glad,나는 내가 너무 기뻐할 때 내 감정을 숨길 수 없다.,joy
i feel like how i m pissed that i have to spend an entire extra year in school because of stupid biochem,바보 같은 생화학 때문에 1년 내내 학교에서 보내야 한다는 것이 얼마나 화가 나는지 느껴집니다.,anger
i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now,나는 지금 나와 함께 내 방에 있는 성령의 루아치 하코데시의 달콤한 존재를 느끼기 때문에 울 준비가 되어 있다.,joy
i feel confused too,나도 혼란스러워.,fear
i attempted to call my mom to talk to her but she answered the phone with suck fake regard for my feelings she had her jolly voice on and i just told her nevermind and she said okay i have a couple guests walking through the door so i have to go and feed them some pie,"나는 엄마에게 말하기 위해 전화를 걸려고 했지만, 그녀는 즐거운 목소리를 내고 있는 내 감정에 대해 가짜 배려로 전화를 받았고 나는 그녀에게 신경쓰지 말라고 말했고 그녀는 괜찮다고 말했다. 나는 몇 명의 손님이 문으로 걸어가고 있기 때문에 그들에게 파이를 좀 먹여야 한다.",joy
i feel for this little pound lovely is truly a gift,나는 이 작은 파운드에 대해 사랑스러운 것이 진정한 선물이라고 느낀다.,love
i posted on here and i m feeling very neglectful,나는 여기에 글을 올렸고 나는 매우 소홀함을 느낀다.,sadness
i woke up monday feeling like crap and blamed it on the weather,나는 월요일에 기분나쁘게 일어나서 날씨 탓으로 돌렸다.,sadness
i zoom into those difficulties into feeling like having to give up everything and feeling more then helpless alone in a desert cast out by the ways voices and actions of others that is another story when i zoom into it i also temporarily loose the view of the full picture,"나는 그 어려움들을 확대해서 모든 것을 포기해야 한다는 느낌과 사막에서 더 무력감을 느끼고, 내가 그것을 확대했을 때 다른 사람들의 목소리와 행동에 의해 던져진 사막에서 더 많은 무력감을 느낀다. 나는 또한 그것을 일시적으로 전체 그림의 시야를 잃는다.",sadness
i didnt feel like anyone really hated me or noone new anyway and i managed to just not think about those who do,나는 어쨌든 아무도 나를 정말 싫어하거나 새로운 사람이 없다고 느꼈고 나는 그렇게 하는 사람들에 대해 생각하지 않을 수 있었다.,sadness
i have these random moments where i feel suddenly very creative and would love to sit down and hear the tick tick tick of the keyboard keys as my thoughts spilled out onto the screen,나는 갑자기 매우 창의적이라고 느끼는 무작위 순간이 있고 내 생각이 화면에 쏟아질 때 앉아서 키보드 키의 똑딱거리는 소리를 듣고 싶다.,joy
i feel nostalgic to travel away from my country my family and my friends not because i dont like them,나는 내 가족과 내 친구들을 싫어해서가 아니라 내 조국을 떠나 여행하는 것을 향수를 느낀다.,love
i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,나는 스캇 데일이 보낸 이 이메일을 발견했고 그것들을 읽는 것만으로도 나는 너무 좌절감을 느꼈고 나는 그것들을 게시하고 그가 얼마나 신경질적인 괴짜인지 세상에 보여줘야 할 필요성을 느꼈다.,fear
i smoothly hand her a twenty feeling smug that they are both interested,나는 그들 둘 다 관심이 있다는 20가지 자만심을 부드럽게 그녀에게 건넸다.,joy
i did see some things that i would never have done myself for the movie adaption but feel that if i did not read the book it would not have bothered me,나는 내가 영화 각색에 절대 하지 않았을 것들을 보았지만 내가 그 책을 읽지 않았다면 그것은 나를 괴롭히지 않았을 것이라고 느낀다.,anger
ive had to harden my heart to toughen my skin in order to truly protect myelf from feeling utterly devastated,나는 완전히 망연자실한 느낌으로부터 내 자신을 진정으로 보호하기 위해 내 피부를 단단하게 만들기 위해 내 심장을 굳혀야 했다.,sadness
i feel like its the perfect time to enlist some extra help,나는 지금이 추가적인 도움을 요청하기에 완벽한 시기라고 느낀다.,joy
i somehow feel more vulnerable without it,나는 그것이 없으면 왠지 더 취약하다고 느낀다.,fear
i don t know how i feel about today because part of me is convinced that i am making this so much more difficult than it actually is or as mehow casually remarks in the april infield insider getting out of the box you are in that was never there in the first place,나는 내가 이것을 실제보다 훨씬 더 어렵게 만들고 있다고 확신하거나 나처럼 4월 내야 인사이더에서 네가 있는 박스에서 벗어나는 무심코 한 말이 애초에 그곳에 있었던 적이 없기 때문에 오늘 내가 어떻게 느끼는지 모르겠다.,joy
i was feeling a bit casual and put on a plain tank top with loose bottoms i got from zara,나는 약간 캐주얼함을 느끼고 있었고 Zara에서 얻은 느슨한 하의의 평범한 탱크톱을 입었다.,joy
i think we i can get caught up in the nature of being busy of feeling the need to fill each moment with industry of some sort of occupying blank spaces with effort and chores,나는 우리가 노력과 허드렛일로 빈 공간을 차지하는 어떤 종류의 산업으로 매 순간을 채울 필요를 느끼기에 바쁜 본성에 사로잡힐 수 있다고 생각한다.,sadness
i am feeling very fearful that things arent going to go the way i want them to with my ex,나는 내 전남편과 내가 원하는 대로 일이 진행되지 않을까 매우 두려워하고 있다.,fear
i honestly feel kind of embarrassed and a bit guilty,솔직히 좀 창피하고 죄책감이 들어요.,sadness
i said i wanted to give you a little sample of the writing i denied you then but i m feeling a little more generous today i suppose because i just have to share one little taste,"나는 너에게 그때 내가 너를 부인했던 글의 작은 샘플을 주고 싶다고 말했지만, 오늘은 내가 조금 더 관대하다고 느낀다. 왜냐하면 나는 단지 한 가지 맛을 공유해야 하기 때문이다.",joy
i feel a bit rotten putting a post about teaching into the stones tag list for this blog its not really a grumble or groan subject for me to be honest,나는 이 블로그의 스톤 태그 목록에 가르치는 것에 대한 게시물을 넣는 것이 썩은 기분이다. 솔직히 말해서 그것은 정말로 불평하거나 신음하는 주제가 아니다.,sadness
ive learned in this short journey thus far is i know when my body has had enough of sugar and fast food and junk even though those days are far and few between i start to feel lethargic,"나는 지금까지 이 짧은 여정에서 배웠는데, 비록 그 날들이 멀고 내가 무기력함을 느끼기 시작하지만 내 몸이 설탕과 패스트푸드와 정크 푸드를 충분히 먹었을 때 나는 안다.",sadness
i felt better on thursday and today friday felt good enough to come into work though i still feel kind of shitty and foggy,"목요일에는 기분이 좋아졌고, 오늘 금요일은 출근할 수 있을 만큼 기분이 좋았다. 비록 나는 여전히 엉망이고 안개가 낀 기분이다.",sadness
i just feel disappointed for losing he said,나는 단지 져서 실망할 뿐이라고 그가 말했다.,sadness
i need to get in touch with what i want and how i want to feel did i mention how much i hate people caring for me,나는 내가 원하는 것과 내가 어떻게 느끼고 싶은지에 대해 연락할 필요가 있다. 내가 얼마나 사람들이 나를 배려하는 것을 싫어하는지 언급했는가.,love
i feel like a failure of a parent which add that to the emotional rollercoaster of having to have an unplanned c section and well some days i feel like i have just failed from the beginning,나는 계획되지 않은 제왕절개를 해야 하는 감정적인 롤러코스터에 그것을 더하는 부모의 실패처럼 느껴지고 글쎄 어떤 날은 내가 처음부터 실패했다고 느낀다.,sadness
i feel rather intimidated by my re his impressive background and the clinic in general,나는 그의 인상적인 배경과 전반적인 클리닉에 다소 주눅이 든다.,fear
i secretly well i guess not secretly anymore feel insecure about this but at the same time want them to learn how to come up with common ground by themselves,나는 은밀히 잘 알고 있다. 나는 더 이상 은밀하게 이것에 대해 불안감을 느끼지 않지만 동시에 그들이 스스로 공통점을 찾는 방법을 배우기를 바란다.,fear
i need to feel assured i need to feel secure,나는 안심해야 한다. 나는 안정감을 느껴야 한다.,joy
i could genuinely feel loving toward someone without them ever knowing it if i dont act like it,만약 내가 그렇게 행동하지 않는다면 나는 진심으로 누군가 모르게 누군가에게 사랑을 느낄 수 있다.,love
i feel like the people that disliked it the most,나는 그것을 가장 싫어했던 사람들처럼 느껴진다.,sadness
i can never seem to get on the good foot and i feel so crappy,나는 결코 좋은 발을 할 수 없을 것 같고 나는 너무 형편없다.,sadness
i want something that gives me a major orgasm that will make me feel so horny ill screw anything that moves,나는 내가 너무 흥분하게 만드는 주요한 오르가즘을 주는 것을 원한다. 움직이는 것은 무엇이든 망친다.,love
i drove home i was aware of feeling not like myself and then she called to ask if i was ok,나는 집으로 운전해서 갔다. 나는 내가 나답지 않다는 것을 알았고 그녀는 내가 괜찮은지 물어보기 위해 전화했다.,joy
i feel guilty for complaining about my life knowing that there are people out there who have it much worse than i do,나는 나보다 훨씬 더 나쁜 삶을 가진 사람들이 있다는 것을 알고 내 삶에 대해 불평한 것에 대해 죄책감을 느낀다.,sadness
id feel completely lost without him,나는 그가 없으면 완전히 길을 잃는다.,sadness
im feeling discouraged i can look at that and remember i can achieve the goals i set for myself and i can always surprise myself with successes,나는 낙담감을 느낀다 나는 그것을 볼 수 있고 내가 나 자신을 위해 설정한 목표를 달성할 수 있다는 것을 기억할 수 있고 나는 항상 성공으로 나를 놀라게 할 수 있다.,sadness
i tried to explain what my lyme and coinfections feel like i guess i could say it is a horrible painful nightmare that just won t end,나는 내 라임과 공동 감염이 어떤 느낌인지 설명하려고 애썼다. 나는 그것이 그냥 끝나지 않은 끔찍하고 고통스러운 악몽이라고 말할 수 있을 것 같다.,sadness
i cherish that feeling of babies asleep on my chest their amazingly sweet breath and the feeling they give me of i am needed,나는 내 가슴에서 잠든 아기들의 그 느낌과 놀랍도록 달콤한 숨결 그리고 그들이 나에게 주는 그 느낌들을 소중히 여긴다.,love
i can feel it weighing on me filling my thoughts as i try to do homework or help out at special olympics,나는 특별한 올림픽에서 숙제를 하거나 도움을 주려고 노력하면서 내 생각을 채우는 것을 느낄 수 있다.,joy
i love the rainbow look that i have going on and think that it feels really festive i just hope the kids don t feel like it s suppose to be a constant party in our classroom thanks to the tissue paper balls,나는 내가 하고 있는 무지개 모양을 좋아하고 그것이 정말 축제처럼 느껴진다고 생각한다. 나는 단지 아이들이 휴지통 덕분에 우리 교실에서 그것이 지속적인 파티가 되어야 한다고 느끼지 않기를 바란다.,joy
i feel incredibly idiotic but i was also embarrassed because it hadnt been their fault at all and i had yelled at one of the workers on the phone out of frustration about needing to call them a million times sending so many emails and still the problem was not solved,"나는 믿을 수 없을 정도로 멍청하다고 느끼지만, 나는 또한 당황했다. 왜냐하면 그것은 그들의 잘못이 전혀 아니었기 때문이고 나는 너무 많은 이메일을 보내면서 그들에게 수백만 번 전화해야 하는 것에 대한 좌절로 전화하는 직원 중 한 명에게 소리를 질렀지만 여전히 문제는 해결되지 않았다.",sadness
i feel so uncomfortable about the word hero,나는 영웅이라는 단어가 너무 불편하다.,fear
i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,나는 그렇게 할 수 있어 너의 진심어린 몸짓에 대해 내가 느끼는 완전한 감사와 감사를 진심으로 표현할 수 있어 그리고 나는 매우 고마워.,joy
i feel energized and eager to write tomorrow,나는 내일 글을 쓰고 싶어하고 힘이 난다.,joy
i feel respected so his notions of feeling good or thinking good about someone become my notions of ensuring respect,나는 존경받는다고 느끼기 때문에 누군가를 좋게 생각하거나 좋게 생각하는 그의 생각은 존경심을 보장하는 나의 개념이 된다.,joy
i feel so ecstatic that i survived my comprehensive exams because i was never sure if i would survive not just pass but survive,나는 내가 종합 시험에서 살아남았다는 것에 매우 황홀함을 느낀다. 왜냐하면 나는 내가 단지 합격이 아니라 살아남을 수 있을지 확신할 수 없었기 때문이다.,joy
i feel honoured to wear this one,이것을 입게 되어 영광입니다.,joy
i remember feeling very very violent and very disgusted the oscar winner tells access hollywood,나는 매우 폭력적이고 오스카 수상자가 헐리우드에 접근하는 것에 대해 매우 혐오감을 느꼈던 것을 기억한다.,anger
i woke up on the sofa feeling extremely agitated around pm,나는 오후쯤에 소파에서 일어나 매우 흥분했다.,fear
i honestly don t think it s possible for me to feel romantic love at this point,나는 솔직히 이 시점에서 로맨틱한 사랑을 느끼는 것은 불가능하다고 생각한다.,love
i like build quality and how the button layout changes according to the phone s function i also like that the haptic feedback really feels like the phone has buttons herrman is still convinced there aren t haptics,나는 빌드 품질을 좋아하고 버튼 레이아웃이 전화기 기능에 따라 어떻게 변하는지 또한 촉각 피드백이 전화기에 버튼이 있는 것처럼 느껴진다는 것을 좋아한다. 허먼은 여전히 촉각 기능이 있다고 확신한다.,joy
